"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Acidovorax carolinensis","Acinetobacter baumannii","Acidovorax carolinensis","Acidovorax monticola","Acidovorax carolinensis","Acidovorax carolinensis","Acidovorax citrulli","Acidovorax carolinensis","Acinetobacter baumannii","Acinetobacter baumannii","Acinetobacter baumannii","Acidovorax avenae","Acidovorax carolinensis","Acidovorax antarcticus","Acidovorax antarcticus","Acidovorax carolinensis","Acidovorax carolinensis","Acinetobacter baumannii","Acidovorax citrulli","Acidothermus cellulolyticus","Acinetobacter baumannii","Acidovorax avenae","Acidovorax avenae","Acidovorax monticola","Acidovorax carolinensis","Acidovorax antarcticus","Acidovorax citrulli","Acidithiobacillus thiooxidans"
"Acidovorax citrulli","Acinetobacter bereziniae","Acidovorax citrulli","Acinetobacter baumannii","Acidovorax citrulli","Acidovorax citrulli","Acidovorax monticola","Acidovorax citrulli","Acinetobacter bereziniae","Acinetobacter bereziniae","Acinetobacter bereziniae","Acidovorax carolinensis","Acidovorax citrulli","Acidovorax avenae","Acidovorax avenae","Acidovorax citrulli","Acidovorax citrulli","Acinetobacter bereziniae","Acidovorax monticola","Acidovorax antarcticus","Acinetobacter bereziniae","Acidovorax carolinensis","Acidovorax carolinensis","Acinetobacter baumannii","Acidovorax citrulli","Acidovorax avenae","Acidovorax monticola","Acidothermus cellulolyticus"
"Acidovorax monticola","Acinetobacter bouvetii","Acidovorax monticola","Acinetobacter bereziniae","Acidovorax monticola","Acidovorax monticola","Acinetobacter baumannii","Acidovorax monticola","Acinetobacter bouvetii","Acinetobacter bouvetii","Acinetobacter bouvetii","Acidovorax citrulli","Acidovorax monticola","Acidovorax carolinensis","Acidovorax carolinensis","Acidovorax monticola","Acidovorax monticola","Acinetobacter bouvetii","Acinetobacter baumannii","Acidovorax avenae","Acinetobacter bouvetii","Acidovorax citrulli","Acidovorax citrulli","Acinetobacter bereziniae","Acidovorax monticola","Acidovorax carolinensis","Acinetobacter baumannii","Acidovorax antarcticus"
"Acinetobacter baumannii","Acinetobacter calcoaceticus","Acinetobacter baumannii","Acinetobacter bouvetii","Acinetobacter baumannii","Acinetobacter baumannii","Acinetobacter bereziniae","Acinetobacter baumannii","Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","Acidovorax monticola","Acinetobacter baumannii","Acidovorax citrulli","Acidovorax citrulli","Acinetobacter baumannii","Acinetobacter baumannii","Acinetobacter calcoaceticus","Acinetobacter bereziniae","Acidovorax carolinensis","Acinetobacter calcoaceticus","Acidovorax monticola","Acidovorax monticola","Acinetobacter bouvetii","Acinetobacter baumannii","Acidovorax citrulli","Acinetobacter bereziniae","Acidovorax avenae"
"Acinetobacter bereziniae","Acinetobacter chinensis","Acinetobacter bereziniae","Acinetobacter calcoaceticus","Acinetobacter bereziniae","Acinetobacter baylyi","Acinetobacter bouvetii","Acinetobacter bereziniae","Acinetobacter chinensis","Acinetobacter chinensis","Acinetobacter chinensis","Acinetobacter baumannii","Acinetobacter bereziniae","Acidovorax monticola","Acidovorax monticola","Acinetobacter bereziniae","Acinetobacter bereziniae","Acinetobacter chinensis","Acinetobacter bouvetii","Acidovorax citrulli","Acinetobacter chinensis","Acinetobacter baumannii","Acinetobacter baumannii","Acinetobacter calcoaceticus","Acinetobacter bereziniae","Acidovorax monticola","Acinetobacter bouvetii","Acidovorax carolinensis"
"Acinetobacter bouvetii","Acinetobacter cumulans","Acinetobacter bouvetii","Acinetobacter chinensis","Acinetobacter bouvetii","Acinetobacter bereziniae","Acinetobacter calcoaceticus","Acinetobacter bouvetii","Acinetobacter cumulans","Acinetobacter cumulans","Acinetobacter cumulans","Acinetobacter bereziniae","Acinetobacter bouvetii","Acinetobacter baumannii","Acinetobacter baumannii","Acinetobacter bouvetii","Acinetobacter bouvetii","Acinetobacter cumulans","Acinetobacter calcoaceticus","Acidovorax monticola","Acinetobacter cumulans","Acinetobacter bereziniae","Acinetobacter bereziniae","Acinetobacter chinensis","Acinetobacter bouvetii","Acinetobacter baumannii","Acinetobacter calcoaceticus","Acidovorax citrulli"
"Acinetobacter calcoaceticus","Acinetobacter defluvii","Acinetobacter calcoaceticus","Acinetobacter cumulans","Acinetobacter calcoaceticus","Acinetobacter bouvetii","Acinetobacter chinensis","Acinetobacter calcoaceticus","Acinetobacter defluvii","Acinetobacter defluvii","Acinetobacter defluvii","Acinetobacter bouvetii","Acinetobacter calcoaceticus","Acinetobacter bereziniae","Acinetobacter bereziniae","Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","Acinetobacter defluvii","Acinetobacter chinensis","Acinetobacter baumannii","Acinetobacter defluvii","Acinetobacter bouvetii","Acinetobacter bouvetii","Acinetobacter cumulans","Acinetobacter calcoaceticus","Acinetobacter bereziniae","Acinetobacter chinensis","Acidovorax monticola"
"Acinetobacter chinensis","Acinetobacter dispersus","Acinetobacter chinensis","Acinetobacter defluvii","Acinetobacter chinensis","Acinetobacter calcoaceticus","Acinetobacter cumulans","Acinetobacter chinensis","Acinetobacter dispersus","Acinetobacter dispersus","Acinetobacter dispersus","Acinetobacter calcoaceticus","Acinetobacter chinensis","Acinetobacter bouvetii","Acinetobacter bouvetii","Acinetobacter chinensis","Acinetobacter chinensis","Acinetobacter dispersus","Acinetobacter cumulans","Acinetobacter bereziniae","Acinetobacter dispersus","Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","Acinetobacter defluvii","Acinetobacter chinensis","Acinetobacter bouvetii","Acinetobacter cumulans","Acinetobacter baumannii"
"Acinetobacter cumulans","Acinetobacter equi","Acinetobacter cumulans","Acinetobacter dispersus","Acinetobacter cumulans","Acinetobacter chinensis","Acinetobacter defluvii","Acinetobacter cumulans","Acinetobacter equi","Acinetobacter equi","Acinetobacter equi","Acinetobacter chinensis","Acinetobacter cumulans","Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","Acinetobacter cumulans","Acinetobacter cumulans","Acinetobacter equi","Acinetobacter defluvii","Acinetobacter bouvetii","Acinetobacter equi","Acinetobacter chinensis","Acinetobacter chinensis","Acinetobacter dispersus","Acinetobacter cumulans","Acinetobacter calcoaceticus","Acinetobacter defluvii","Acinetobacter bereziniae"
"Acinetobacter defluvii","Acinetobacter guillouiae","Acinetobacter defluvii","Acinetobacter equi","Acinetobacter defluvii","Acinetobacter cumulans","Acinetobacter dispersus","Acinetobacter defluvii","Acinetobacter guillouiae","Acinetobacter guillouiae","Acinetobacter guillouiae","Acinetobacter cumulans","Acinetobacter defluvii","Acinetobacter chinensis","Acinetobacter chinensis","Acinetobacter defluvii","Acinetobacter defluvii","Acinetobacter guillouiae","Acinetobacter dispersus","Acinetobacter calcoaceticus","Acinetobacter guillouiae","Acinetobacter cumulans","Acinetobacter cumulans","Acinetobacter equi","Acinetobacter defluvii","Acinetobacter chinensis","Acinetobacter dispersus","Acinetobacter bouvetii"
"Acinetobacter dispersus","Acinetobacter haemolyticus","Acinetobacter dispersus","Acinetobacter guillouiae","Acinetobacter dispersus","Acinetobacter defluvii","Acinetobacter equi","Acinetobacter dispersus","Acinetobacter haemolyticus","Acinetobacter haemolyticus","Acinetobacter haemolyticus","Acinetobacter defluvii","Acinetobacter dispersus","Acinetobacter cumulans","Acinetobacter cumulans","Acinetobacter dispersus","Acinetobacter dispersus","Acinetobacter haemolyticus","Acinetobacter equi","Acinetobacter chinensis","Acinetobacter haemolyticus","Acinetobacter defluvii","Acinetobacter defluvii","Acinetobacter guillouiae","Acinetobacter dispersus","Acinetobacter cumulans","Acinetobacter equi","Acinetobacter calcoaceticus"
"Acinetobacter equi","Acinetobacter indicus","Acinetobacter equi","Acinetobacter haemolyticus","Acinetobacter equi","Acinetobacter dispersus","Acinetobacter guillouiae","Acinetobacter equi","Acinetobacter indicus","Acinetobacter indicus","Acinetobacter indicus","Acinetobacter dispersus","Acinetobacter equi","Acinetobacter defluvii","Acinetobacter defluvii","Acinetobacter equi","Acinetobacter equi","Acinetobacter indicus","Acinetobacter guillouiae","Acinetobacter cumulans","Acinetobacter indicus","Acinetobacter dispersus","Acinetobacter dispersus","Acinetobacter haemolyticus","Acinetobacter equi","Acinetobacter defluvii","Acinetobacter guillouiae","Acinetobacter chinensis"
"Acinetobacter guillouiae","Acinetobacter junii","Acinetobacter guillouiae","Acinetobacter indicus","Acinetobacter guillouiae","Acinetobacter equi","Acinetobacter haemolyticus","Acinetobacter guillouiae","Acinetobacter junii","Acinetobacter junii","Acinetobacter junii","Acinetobacter equi","Acinetobacter guillouiae","Acinetobacter dispersus","Acinetobacter dispersus","Acinetobacter guillouiae","Acinetobacter guillouiae","Acinetobacter junii","Acinetobacter haemolyticus","Acinetobacter defluvii","Acinetobacter junii","Acinetobacter equi","Acinetobacter equi","Acinetobacter indicus","Acinetobacter guillouiae","Acinetobacter dispersus","Acinetobacter haemolyticus","Acinetobacter cumulans"
"Acinetobacter haemolyticus","Acinetobacter lactucae","Acinetobacter haemolyticus","Acinetobacter junii","Acinetobacter haemolyticus","Acinetobacter guillouiae","Acinetobacter indicus","Acinetobacter haemolyticus","Acinetobacter lactucae","Acinetobacter lactucae","Acinetobacter lactucae","Acinetobacter guillouiae","Acinetobacter haemolyticus","Acinetobacter equi","Acinetobacter equi","Acinetobacter haemolyticus","Acinetobacter haemolyticus","Acinetobacter lactucae","Acinetobacter indicus","Acinetobacter dispersus","Acinetobacter lactucae","Acinetobacter guillouiae","Acinetobacter guillouiae","Acinetobacter junii","Acinetobacter haemolyticus","Acinetobacter equi","Acinetobacter indicus","Acinetobacter defluvii"
"Acinetobacter indicus","Acinetobacter lanii","Acinetobacter indicus","Acinetobacter lactucae","Acinetobacter indicus","Acinetobacter haemolyticus","Acinetobacter junii","Acinetobacter indicus","Acinetobacter lanii","Acinetobacter lanii","Acinetobacter lanii","Acinetobacter haemolyticus","Acinetobacter indicus","Acinetobacter guillouiae","Acinetobacter guillouiae","Acinetobacter indicus","Acinetobacter indicus","Acinetobacter lanii","Acinetobacter junii","Acinetobacter equi","Acinetobacter lanii","Acinetobacter haemolyticus","Acinetobacter haemolyticus","Acinetobacter lactucae","Acinetobacter indicus","Acinetobacter guillouiae","Acinetobacter junii","Acinetobacter dispersus"
"Acinetobacter junii","Acinetobacter lwoffii","Acinetobacter junii","Acinetobacter lanii","Acinetobacter junii","Acinetobacter indicus","Acinetobacter lactucae","Acinetobacter junii","Acinetobacter lwoffii","Acinetobacter lwoffii","Acinetobacter lwoffii","Acinetobacter indicus","Acinetobacter junii","Acinetobacter haemolyticus","Acinetobacter haemolyticus","Acinetobacter junii","Acinetobacter junii","Acinetobacter lwoffii","Acinetobacter lactucae","Acinetobacter guillouiae","Acinetobacter lwoffii","Acinetobacter indicus","Acinetobacter indicus","Acinetobacter lanii","Acinetobacter junii","Acinetobacter haemolyticus","Acinetobacter lactucae","Acinetobacter equi"
"Acinetobacter lactucae","Acinetobacter nosocomialis","Acinetobacter lactucae","Acinetobacter lwoffii","Acinetobacter lactucae","Acinetobacter junii","Acinetobacter lanii","Acinetobacter lactucae","Acinetobacter nosocomialis","Acinetobacter nosocomialis","Acinetobacter nosocomialis","Acinetobacter junii","Acinetobacter lactucae","Acinetobacter indicus","Acinetobacter indicus","Acinetobacter lactucae","Acinetobacter lactucae","Acinetobacter nosocomialis","Acinetobacter lanii","Acinetobacter haemolyticus","Acinetobacter nosocomialis","Acinetobacter junii","Acinetobacter junii","Acinetobacter lwoffii","Acinetobacter lactucae","Acinetobacter indicus","Acinetobacter lanii","Acinetobacter guillouiae"
"Acinetobacter lanii","Acinetobacter oleivorans","Acinetobacter lanii","Acinetobacter nosocomialis","Acinetobacter lanii","Acinetobacter lactucae","Acinetobacter lwoffii","Acinetobacter lanii","Acinetobacter oleivorans","Acinetobacter oleivorans","Acinetobacter oleivorans","Acinetobacter lactucae","Acinetobacter lanii","Acinetobacter junii","Acinetobacter junii","Acinetobacter lanii","Acinetobacter lanii","Acinetobacter oleivorans","Acinetobacter lwoffii","Acinetobacter indicus","Acinetobacter oleivorans","Acinetobacter lactucae","Acinetobacter lactucae","Acinetobacter nosocomialis","Acinetobacter lanii","Acinetobacter junii","Acinetobacter lwoffii","Acinetobacter haemolyticus"
"Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter lwoffii","Acinetobacter oleivorans","Acinetobacter lwoffii","Acinetobacter lanii","Acinetobacter nosocomialis","Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter pittii","Acinetobacter pittii","Acinetobacter lanii","Acinetobacter lwoffii","Acinetobacter lactucae","Acinetobacter lactucae","Acinetobacter lwoffii","Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter nosocomialis","Acinetobacter junii","Acinetobacter pittii","Acinetobacter lanii","Acinetobacter lanii","Acinetobacter oleivorans","Acinetobacter larvae","Acinetobacter lactucae","Acinetobacter nosocomialis","Acinetobacter indicus"
"Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter nosocomialis","Acinetobacter pittii","Acinetobacter nosocomialis","Acinetobacter larvae","Acinetobacter oleivorans","Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter radioresistens","Acinetobacter radioresistens","Acinetobacter lwoffii","Acinetobacter nosocomialis","Acinetobacter lanii","Acinetobacter lanii","Acinetobacter nosocomialis","Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter oleivorans","Acinetobacter lactucae","Acinetobacter radioresistens","Acinetobacter lwoffii","Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter lwoffii","Acinetobacter lanii","Acinetobacter oleivorans","Acinetobacter junii"
"Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter oleivorans","Acinetobacter radioresistens","Acinetobacter oleivorans","Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter schindleri","Acinetobacter schindleri","Acinetobacter nosocomialis","Acinetobacter oleivorans","Acinetobacter lwoffii","Acinetobacter lwoffii","Acinetobacter oleivorans","Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter pittii","Acinetobacter lanii","Acinetobacter schindleri","Acinetobacter nosocomialis","Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter nosocomialis","Acinetobacter lwoffii","Acinetobacter pittii","Acinetobacter lactucae"
"Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter pittii","Acinetobacter schindleri","Acinetobacter pittii","Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter seifertii","Acinetobacter seifertii","Acinetobacter oleivorans","Acinetobacter pittii","Acinetobacter nosocomialis","Acinetobacter nosocomialis","Acinetobacter pittii","Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter radioresistens","Acinetobacter lwoffii","Acinetobacter seifertii","Acinetobacter oleivorans","Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter oleivorans","Acinetobacter nosocomialis","Acinetobacter radioresistens","Acinetobacter lanii"
"Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter radioresistens","Acinetobacter seifertii","Acinetobacter radioresistens","Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter shaoyimingii","Acinetobacter shaoyimingii","Acinetobacter pittii","Acinetobacter radioresistens","Acinetobacter oleivorans","Acinetobacter oleivorans","Acinetobacter radioresistens","Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter schindleri","Acinetobacter nosocomialis","Acinetobacter shaoyimingii","Acinetobacter pittii","Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter pittii","Acinetobacter oleivorans","Acinetobacter schindleri","Acinetobacter lwoffii"
"Acinetobacter schindleri","Acinetobacter soli","Acinetobacter schindleri","Acinetobacter shaoyimingii","Acinetobacter schindleri","Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter schindleri","Acinetobacter towneri","Acinetobacter soli","Acinetobacter soli","Acinetobacter radioresistens","Acinetobacter schindleri","Acinetobacter pittii","Acinetobacter pittii","Acinetobacter schindleri","Acinetobacter schindleri","Acinetobacter soli","Acinetobacter seifertii","Acinetobacter oleivorans","Acinetobacter soli","Acinetobacter radioresistens","Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter radioresistens","Acinetobacter pittii","Acinetobacter seifertii","Acinetobacter nosocomialis"
"Acinetobacter seifertii","Acinetobacter towneri","Acinetobacter seifertii","Acinetobacter soli","Acinetobacter seifertii","Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter seifertii","Acinetobacter variabilis","Acinetobacter towneri","Acinetobacter towneri","Acinetobacter schindleri","Acinetobacter seifertii","Acinetobacter radioresistens","Acinetobacter radioresistens","Acinetobacter seifertii","Acinetobacter seifertii","Acinetobacter towneri","Acinetobacter shaoyimingii","Acinetobacter pittii","Acinetobacter towneri","Acinetobacter schindleri","Acinetobacter schindleri","Acinetobacter soli","Acinetobacter schindleri","Acinetobacter radioresistens","Acinetobacter shaoyimingii","Acinetobacter oleivorans"
"Acinetobacter shaoyimingii","Acinetobacter variabilis","Acinetobacter shaoyimingii","Acinetobacter towneri","Acinetobacter shaoyimingii","Acinetobacter schindleri","Acinetobacter soli","Acinetobacter shaoyimingii","Acinetobacter wuhouensis","Acinetobacter variabilis","Acinetobacter variabilis","Acinetobacter seifertii","Acinetobacter shaoyimingii","Acinetobacter schindleri","Acinetobacter schindleri","Acinetobacter shaoyimingii","Acinetobacter shaoyimingii","Acinetobacter variabilis","Acinetobacter soli","Acinetobacter radioresistens","Acinetobacter variabilis","Acinetobacter seifertii","Acinetobacter seifertii","Acinetobacter towneri","Acinetobacter seifertii","Acinetobacter schindleri","Acinetobacter soli","Acinetobacter pittii"
"Acinetobacter soli","Acinetobacter wanghuae","Acinetobacter soli","Acinetobacter variabilis","Acinetobacter soli","Acinetobacter seifertii","Acinetobacter towneri","Acinetobacter soli","Actinomarinicola tropica","Acinetobacter wuhouensis","Acinetobacter wanghuae","Acinetobacter shaoyimingii","Acinetobacter soli","Acinetobacter seifertii","Acinetobacter seifertii","Acinetobacter soli","Acinetobacter soli","Acinetobacter wanghuae","Acinetobacter towneri","Acinetobacter schindleri","Acinetobacter wuhouensis","Acinetobacter shaoyimingii","Acinetobacter shaoyimingii","Acinetobacter variabilis","Acinetobacter shaoyimingii","Acinetobacter seifertii","Acinetobacter towneri","Acinetobacter radioresistens"
"Acinetobacter towneri","Acinetobacter wuhouensis","Acinetobacter towneri","Acinetobacter wanghuae","Acinetobacter towneri","Acinetobacter shaoyimingii","Acinetobacter variabilis","Acinetobacter towneri","Actinomyces naeslundii","Actinomarinicola tropica","Acinetobacter wuhouensis","Acinetobacter soli","Acinetobacter towneri","Acinetobacter shaoyimingii","Acinetobacter shaoyimingii","Acinetobacter towneri","Acinetobacter towneri","Acinetobacter wuhouensis","Acinetobacter variabilis","Acinetobacter seifertii","Actinomarinicola tropica","Acinetobacter soli","Acinetobacter soli","Acinetobacter wanghuae","Acinetobacter soli","Acinetobacter shaoyimingii","Acinetobacter variabilis","Acinetobacter schindleri"
"Acinetobacter variabilis","Actinomarinicola tropica","Acinetobacter variabilis","Acinetobacter wuhouensis","Acinetobacter variabilis","Acinetobacter soli","Acinetobacter wanghuae","Acinetobacter variabilis","Actinomyces oris","Actinomyces naeslundii","Actinobacillus pleuropneumoniae","Acinetobacter towneri","Acinetobacter variabilis","Acinetobacter soli","Acinetobacter soli","Acinetobacter variabilis","Acinetobacter variabilis","Actinomarinicola tropica","Acinetobacter wanghuae","Acinetobacter shaoyimingii","Actinomyces naeslundii","Acinetobacter towneri","Acinetobacter towneri","Acinetobacter wuhouensis","Acinetobacter towneri","Acinetobacter soli","Acinetobacter wanghuae","Acinetobacter seifertii"
"Acinetobacter wanghuae","Actinomyces naeslundii","Acinetobacter wanghuae","Actinomarinicola tropica","Acinetobacter wanghuae","Acinetobacter towneri","Acinetobacter wuhouensis","Acinetobacter wanghuae","Actinomyces pacaensis","Actinomyces oris","Actinomarinicola tropica","Acinetobacter variabilis","Acinetobacter wanghuae","Acinetobacter towneri","Acinetobacter towneri","Acinetobacter wanghuae","Acinetobacter wanghuae","Actinomyces naeslundii","Acinetobacter wuhouensis","Acinetobacter soli","Actinomyces oris","Acinetobacter variabilis","Acinetobacter variabilis","Actinobacillus pleuropneumoniae","Acinetobacter variabilis","Acinetobacter towneri","Acinetobacter wuhouensis","Acinetobacter shaoyimingii"
