"Adipose Tissue","Adipose Tissue_meanFrequency","Muscle","Muscle_meanFrequency","Blood Vessel","Blood Vessel_meanFrequency","Heart","Heart_meanFrequency","Uterus","Uterus_meanFrequency","Vagina","Vagina_meanFrequency","Breast","Breast_meanFrequency","Skin","Skin_meanFrequency","Salivary Gland","Salivary Gland_meanFrequency","Brain","Brain_meanFrequency","Adrenal Gland","Adrenal Gland_meanFrequency","Thyroid","Thyroid_meanFrequency","Lung","Lung_meanFrequency","Spleen","Spleen_meanFrequency","Pancreas","Pancreas_meanFrequency","Esophagus","Esophagus_meanFrequency","Stomach","Stomach_meanFrequency","Colon","Colon_meanFrequency","Small Intestine","Small Intestine_meanFrequency","Prostate","Prostate_meanFrequency","Testis","Testis_meanFrequency","Nerve","Nerve_meanFrequency","Blood","Blood_meanFrequency","Pituitary","Pituitary_meanFrequency","Ovary","Ovary_meanFrequency","Liver","Liver_meanFrequency","Kidney","Kidney_meanFrequency","Bladder","Bladder_meanFrequency"
"Acidovorax carolinensis","48.8152954844291","Acinetobacter baumannii","50.6512655932203","Acidovorax carolinensis","53.0583309882353","Acidovorax monticola","9.06833504842615","Acidovorax carolinensis","47.2066801449275","Acidovorax carolinensis","38.6686836486486","Acidovorax citrulli","2.14929234899329","Acidovorax carolinensis","57.735940872","Acinetobacter baumannii","45.4356894230769","Acinetobacter baumannii","51.2940089618644","Acinetobacter baumannii","55.423089338843","Acidovorax avenae","1.579433776","Acidovorax carolinensis","43.2935934432234","Acidovorax antarcticus","8.52335960352423","Acidovorax antarcticus","10.5219676433121","Acidovorax carolinensis","60.0414169219548","Acidovorax carolinensis","46.2841263929619","Acinetobacter baumannii","77.6475373360107","Acidovorax citrulli","1.04072575418994","Acidothermus cellulolyticus","0.524163175965665","Acinetobacter baumannii","39.2349912827988","Acidovorax avenae","2.04071460636516","Acidovorax avenae","2.1840470505618","Acidovorax monticola","10.4248895505618","Acidovorax carolinensis","64.3857294797688","Acidovorax antarcticus","7.74988843317972","Acidovorax citrulli","2.66284891566265","Acidithiobacillus thiooxidans","0.107702631578947"
"Acidovorax citrulli","2.4079939100346","Acinetobacter bereziniae","0.548186427640156","Acidovorax citrulli","2.13100744313725","Acinetobacter baumannii","62.1364315254237","Acidovorax citrulli","1.84074833333333","Acidovorax citrulli","1.55650033783784","Acidovorax monticola","12.6520146532438","Acidovorax citrulli","2.594538504","Acinetobacter bereziniae","0.379355128205128","Acinetobacter bereziniae","1.03205904661017","Acinetobacter bereziniae","0.682118347107438","Acidovorax carolinensis","43.508378528","Acidovorax citrulli","1.8126202014652","Acidovorax avenae","1.9617072246696","Acidovorax avenae","1.40965191082803","Acidovorax citrulli","1.90106905178702","Acidovorax citrulli","1.36173307917889","Acinetobacter bereziniae","0.934256385542169","Acidovorax monticola","9.21436608938548","Acidovorax antarcticus","11.2174124034335","Acinetobacter bereziniae","0.568804052478134","Acidovorax carolinensis","58.0985522780569","Acidovorax carolinensis","53.6831826825843","Acinetobacter baumannii","82.2505468913858","Acidovorax citrulli","1.48219080924855","Acidovorax avenae","1.76837073732719","Acidovorax monticola","12.7182","Acidothermus cellulolyticus","0.750816842105263"
"Acidovorax monticola","11.3908801557093","Acinetobacter bouvetii","14.0349025814863","Acidovorax monticola","12.0754012392157","Acinetobacter bereziniae","4.95706161016949","Acidovorax monticola","10.4050992028986","Acidovorax monticola","9.61216898648649","Acinetobacter baumannii","103.791090201342","Acidovorax monticola","11.98999324","Acinetobacter bouvetii","7.04719583333333","Acinetobacter bouvetii","11.3307047457627","Acinetobacter bouvetii","13.2338877272727","Acidovorax citrulli","1.9996334768","Acidovorax monticola","10.9630022161172","Acidovorax carolinensis","52.0759","Acidovorax carolinensis","48.2477115286624","Acidovorax monticola","11.4201531801605","Acidovorax monticola","10.6480147507331","Acinetobacter bouvetii","24.9061488487282","Acinetobacter baumannii","71.4635019553073","Acidovorax avenae","2.53042789699571","Acinetobacter bouvetii","12.5705507580175","Acidovorax citrulli","1.68699164154104","Acidovorax citrulli","1.80777456460674","Acinetobacter bereziniae","0.779952397003745","Acidovorax monticola","9.54596988439306","Acidovorax carolinensis","42.5385124423963","Acinetobacter baumannii","84.6971960240964","Acidovorax antarcticus","6.51638263157895"
"Acinetobacter baumannii","92.1208092906574","Acinetobacter calcoaceticus","0.275062985658409","Acinetobacter baumannii","94.6562541333333","Acinetobacter bouvetii","12.6567728571429","Acinetobacter baumannii","75.9396485507246","Acinetobacter baumannii","84.5870587837838","Acinetobacter bereziniae","1.2488463310962","Acinetobacter baumannii","90.277766376","Acinetobacter calcoaceticus","0.306251282051282","Acinetobacter calcoaceticus","0.20828125","Acinetobacter calcoaceticus","0.368240495867769","Acidovorax monticola","12.564369008","Acinetobacter baumannii","78.665322967033","Acidovorax citrulli","1.64884348017621","Acidovorax citrulli","1.27503124203822","Acinetobacter baumannii","75.2718750182349","Acinetobacter baumannii","74.1779639589443","Acinetobacter calcoaceticus","0.459460950468541","Acinetobacter bereziniae","0.508605586592179","Acidovorax carolinensis","66.808812832618","Acinetobacter calcoaceticus","0.33133139941691","Acidovorax monticola","12.0471552428811","Acidovorax monticola","13.7115155758427","Acinetobacter bouvetii","10.9959331460674","Acinetobacter baumannii","69.566542716763","Acidovorax citrulli","2.35425447004608","Acinetobacter bereziniae","0.365730481927711","Acidovorax avenae","2.97655421052632"
"Acinetobacter bereziniae","1.05214198096886","Acinetobacter chinensis","0.827023885267275","Acinetobacter bereziniae","0.891514352941176","Acinetobacter calcoaceticus","1.21611225181598","Acinetobacter bereziniae","0.803831956521739","Acinetobacter baylyi","0.285772702702703","Acinetobacter bouvetii","20.2946552796421","Acinetobacter bereziniae","0.976890016","Acinetobacter chinensis","0.533725448717949","Acinetobacter chinensis","0.893574936440678","Acinetobacter chinensis","1.64898417355372","Acinetobacter baumannii","81.103855024","Acinetobacter bereziniae","1.03144357142857","Acidovorax monticola","11.2281767400881","Acidovorax monticola","10.4144894904459","Acinetobacter bereziniae","1.75183760029176","Acinetobacter bereziniae","1.07535041055718","Acinetobacter chinensis","1.22058714859438","Acinetobacter bouvetii","25.2576961452514","Acidovorax citrulli","2.051329527897","Acinetobacter chinensis","0.842841516034985","Acinetobacter baumannii","95.8026177051926","Acinetobacter baumannii","105.840029101124","Acinetobacter calcoaceticus","0.47113797752809","Acinetobacter bereziniae","0.644013699421965","Acidovorax monticola","10.0162751612903","Acinetobacter bouvetii","15.3522460240964","Acidovorax carolinensis","52.0497484210526"
"Acinetobacter bouvetii","32.7428385640138","Acinetobacter cumulans","0.948266205997392","Acinetobacter bouvetii","18.7360774509804","Acinetobacter chinensis","1.0145094188862","Acinetobacter bouvetii","29.9643254347826","Acinetobacter bereziniae","1.44246898648649","Acinetobacter calcoaceticus","0.653190469798658","Acinetobacter bouvetii","29.583623912","Acinetobacter cumulans","0.561464102564103","Acinetobacter cumulans","1.50824459745763","Acinetobacter cumulans","1.94557979338843","Acinetobacter bereziniae","0.826807504","Acinetobacter bouvetii","18.1787686080586","Acinetobacter baumannii","95.4452700881057","Acinetobacter baumannii","76.4800168152866","Acinetobacter bouvetii","103.692200335522","Acinetobacter bouvetii","75.6861337243402","Acinetobacter cumulans","1.33257851405622","Acinetobacter calcoaceticus","4.7422782122905","Acidovorax monticola","16.44708527897","Acinetobacter cumulans","1.08036489795918","Acinetobacter bereziniae","1.64241993299832","Acinetobacter bereziniae","0.893604269662921","Acinetobacter chinensis","1.13452898876405","Acinetobacter bouvetii","18.7303487861272","Acinetobacter baumannii","79.285283640553","Acinetobacter calcoaceticus","0.500661325301205","Acidovorax citrulli","1.65513789473684"
"Acinetobacter calcoaceticus","0.529885692041522","Acinetobacter defluvii","2.5882556714472","Acinetobacter calcoaceticus","0.669612407843137","Acinetobacter cumulans","1.0386864527845","Acinetobacter calcoaceticus","2.42483804347826","Acinetobacter bouvetii","16.9286997297297","Acinetobacter chinensis","2.02881389261745","Acinetobacter calcoaceticus","1.048480888","Acinetobacter defluvii","1.61443384615385","Acinetobacter defluvii","2.78149","Acinetobacter defluvii","3.24071665289256","Acinetobacter bouvetii","21.25779672","Acinetobacter calcoaceticus","0.559950934065934","Acinetobacter bereziniae","1.18357524229075","Acinetobacter bereziniae","1.88888487261147","Acinetobacter calcoaceticus","1.2691329321663","Acinetobacter calcoaceticus","0.797974105571848","Acinetobacter defluvii","4.16886659973226","Acinetobacter chinensis","1.08682519553073","Acinetobacter baumannii","119.655726866953","Acinetobacter defluvii","2.49116746355685","Acinetobacter bouvetii","29.8501780234506","Acinetobacter bouvetii","19.3265711095506","Acinetobacter cumulans","0.800052359550562","Acinetobacter calcoaceticus","0.389213526011561","Acinetobacter bereziniae","0.76725866359447","Acinetobacter chinensis","1.14990228915663","Acidovorax monticola","11.8685194736842"
"Acinetobacter chinensis","1.40656493079585","Acinetobacter dispersus","3.32113886571056","Acinetobacter chinensis","1.44086803921569","Acinetobacter defluvii","3.26493424939467","Acinetobacter chinensis","0.934850434782609","Acinetobacter calcoaceticus","0.421640945945946","Acinetobacter cumulans","2.158464049217","Acinetobacter chinensis","1.412526688","Acinetobacter dispersus","0.377977564102564","Acinetobacter dispersus","2.2884651059322","Acinetobacter dispersus","1.32259512396694","Acinetobacter calcoaceticus","0.543824352","Acinetobacter chinensis","1.39391315018315","Acinetobacter bouvetii","20.8316370484581","Acinetobacter bouvetii","54.7541556687898","Acinetobacter chinensis","1.32205358862144","Acinetobacter chinensis","1.37265023460411","Acinetobacter dispersus","1.46089547523427","Acinetobacter cumulans","1.21598245810056","Acinetobacter bereziniae","1.11421725321888","Acinetobacter dispersus","1.7012721574344","Acinetobacter calcoaceticus","0.657265326633166","Acinetobacter calcoaceticus","0.664003370786517","Acinetobacter defluvii","3.3449961423221","Acinetobacter chinensis","1.35571699421965","Acinetobacter bouvetii","24.0961220276498","Acinetobacter cumulans","0.763031325301205","Acinetobacter baumannii","111.823736842105"
"Acinetobacter cumulans","1.63889711937716","Acinetobacter equi","2.98104552803129","Acinetobacter cumulans","1.50027192156863","Acinetobacter dispersus","2.08718238498789","Acinetobacter cumulans","3.21277536231884","Acinetobacter chinensis","1.55829716216216","Acinetobacter defluvii","6.73754091722595","Acinetobacter cumulans","1.698088648","Acinetobacter equi","1.76877365384615","Acinetobacter equi","2.71148358050847","Acinetobacter equi","2.3564497107438","Acinetobacter chinensis","1.716412736","Acinetobacter cumulans","1.28604360805861","Acinetobacter calcoaceticus","1.79449502202643","Acinetobacter calcoaceticus","0.856031878980892","Acinetobacter cumulans","2.93257119620715","Acinetobacter cumulans","3.07615173020528","Acinetobacter equi","5.36663991967871","Acinetobacter defluvii","3.98057368715084","Acinetobacter bouvetii","29.4475963948498","Acinetobacter equi","2.77601244897959","Acinetobacter chinensis","2.65287686767169","Acinetobacter chinensis","1.47551453651685","Acinetobacter dispersus","0.484659737827715","Acinetobacter cumulans","1.82302341040462","Acinetobacter calcoaceticus","0.447016267281106","Acinetobacter defluvii","4.57400554216867","Acinetobacter bereziniae","0.37767052631579"
"Acinetobacter defluvii","4.55932016435986","Acinetobacter guillouiae","4.30127056062581","Acinetobacter defluvii","4.4212849254902","Acinetobacter equi","2.78665884987893","Acinetobacter defluvii","5.06013666666667","Acinetobacter cumulans","1.81370898648649","Acinetobacter dispersus","8.90696013422819","Acinetobacter defluvii","5.049082968","Acinetobacter guillouiae","1.74997076923077","Acinetobacter guillouiae","1.87369161016949","Acinetobacter guillouiae","3.2621452892562","Acinetobacter cumulans","1.816977568","Acinetobacter defluvii","4.06908315018315","Acinetobacter chinensis","1.54519118942731","Acinetobacter chinensis","1.52082834394904","Acinetobacter defluvii","7.09848657913931","Acinetobacter defluvii","7.01830668621701","Acinetobacter guillouiae","11.8547128246319","Acinetobacter dispersus","1.07702430167598","Acinetobacter calcoaceticus","0.68253356223176","Acinetobacter guillouiae","1.78056734693878","Acinetobacter cumulans","5.37738984924623","Acinetobacter cumulans","1.5706271488764","Acinetobacter equi","1.99595550561798","Acinetobacter defluvii","3.94160693641619","Acinetobacter chinensis","1.13513894009217","Acinetobacter dispersus","2.33480686746988","Acinetobacter bouvetii","19.5543442105263"
"Acinetobacter dispersus","1.72844929930796","Acinetobacter haemolyticus","4.4994125684485","Acinetobacter dispersus","3.48827548235294","Acinetobacter guillouiae","16.2227034140436","Acinetobacter dispersus","1.16328434782609","Acinetobacter defluvii","5.56374527027027","Acinetobacter equi","4.27064006711409","Acinetobacter dispersus","4.032247712","Acinetobacter haemolyticus","2.62204525641026","Acinetobacter haemolyticus","3.47202273305085","Acinetobacter haemolyticus","2.93557640495868","Acinetobacter defluvii","4.527259696","Acinetobacter dispersus","7.03755732600733","Acinetobacter cumulans","2.13974779735683","Acinetobacter cumulans","2.20460544585987","Acinetobacter dispersus","2.4408162436178","Acinetobacter dispersus","1.69731193548387","Acinetobacter haemolyticus","3.51162729585007","Acinetobacter equi","5.1328030726257","Acinetobacter chinensis","1.83864927038627","Acinetobacter haemolyticus","3.09123658892128","Acinetobacter defluvii","11.8847105025126","Acinetobacter defluvii","5.04741171348315","Acinetobacter guillouiae","2.87354906367041","Acinetobacter dispersus","1.49943953757225","Acinetobacter cumulans","1.61829953917051","Acinetobacter equi","3.38048445783133","Acinetobacter calcoaceticus","0.275862631578947"
"Acinetobacter equi","6.39572102941176","Acinetobacter indicus","1.27727224250326","Acinetobacter equi","4.39424065882353","Acinetobacter haemolyticus","4.80105772397094","Acinetobacter equi","6.47619956521739","Acinetobacter dispersus","0.509630608108108","Acinetobacter guillouiae","79.0995697315436","Acinetobacter equi","5.5964428","Acinetobacter indicus","1.66584903846154","Acinetobacter indicus","1.30901002118644","Acinetobacter indicus","1.62357681818182","Acinetobacter dispersus","1.36082576","Acinetobacter equi","4.4390017032967","Acinetobacter defluvii","5.28638396475771","Acinetobacter defluvii","7.4957727388535","Acinetobacter equi","13.1914893727206","Acinetobacter equi","17.6465258064516","Acinetobacter indicus","1.57106017402945","Acinetobacter guillouiae","3.51585709497207","Acinetobacter cumulans","1.90090961373391","Acinetobacter indicus","1.06258688046647","Acinetobacter dispersus","2.31076353433836","Acinetobacter dispersus","3.04951122191011","Acinetobacter haemolyticus","1.49035610486891","Acinetobacter equi","4.77764514450867","Acinetobacter defluvii","4.26448986175115","Acinetobacter guillouiae","3.16299771084337","Acinetobacter chinensis","2.19346105263158"
"Acinetobacter guillouiae","16.0121718252595","Acinetobacter junii","42.1575785788787","Acinetobacter guillouiae","17.3422105098039","Acinetobacter indicus","1.47591288135593","Acinetobacter guillouiae","4.28236797101449","Acinetobacter equi","3.34903047297297","Acinetobacter haemolyticus","9.3447722147651","Acinetobacter guillouiae","4.821954136","Acinetobacter junii","9.25760243589744","Acinetobacter junii","58.8828565677966","Acinetobacter junii","37.2439526446281","Acinetobacter equi","4.908703424","Acinetobacter guillouiae","6.34141032967033","Acinetobacter dispersus","1.08990797356828","Acinetobacter dispersus","2.09461057324841","Acinetobacter guillouiae","7.94568316557258","Acinetobacter guillouiae","8.79265615835777","Acinetobacter junii","41.9543114056225","Acinetobacter haemolyticus","3.78232525139665","Acinetobacter defluvii","5.35722575107296","Acinetobacter junii","47.7713393294461","Acinetobacter equi","5.5338448241206","Acinetobacter equi","4.00028082865169","Acinetobacter indicus","1.71038528089888","Acinetobacter guillouiae","4.26786861271676","Acinetobacter dispersus","2.014626359447","Acinetobacter haemolyticus","4.04565674698795","Acinetobacter cumulans","0.260123684210526"
