"","Liver","Heart","Bladder","Colon","Testis","Stomach","microbiomes"
"Acinetobacter baumannii",0,0.000107319714194862,0.00015870134395723,0.000680746893806973,0.000217228731479945,0.00901924676998175,"Acinetobacter baumannii"
"Acinetobacter baylyi",8.85739408194189e-05,0,0,0,0,0,"Acinetobacter baylyi"
"Acinetobacter bereziniae",0,8.3393300812571e-06,0,0,0,0,"Acinetobacter bereziniae"
"Acinetobacter bouvetii",9.1116191385478e-05,3.87314227751663e-05,0,0,0,0.000125672257160718,"Acinetobacter bouvetii"
"Acinetobacter calcoaceticus",0,0,0,0,0,0,"Acinetobacter calcoaceticus"
"Acinetobacter chinensis",0,0,0,0,0,0,"Acinetobacter chinensis"
"Acinetobacter cumulans",0,0,0,0,0,0,"Acinetobacter cumulans"
"Acinetobacter defluvii",0,1.66768543542725e-05,0,0,0,0,"Acinetobacter defluvii"
"Acinetobacter dispersus",0,0,0,9.12448197638238e-05,0,0,"Acinetobacter dispersus"
"Acinetobacter equi",0,0,0,0,0,0,"Acinetobacter equi"
"Acinetobacter guillouiae",0,0,0,0,0,0,"Acinetobacter guillouiae"
"Acinetobacter haemolyticus",0,0,0,0.000708947650988033,0,0.000375711327507396,"Acinetobacter haemolyticus"
"Acinetobacter indicus",0,0,0,0,0,0,"Acinetobacter indicus"
"Acinetobacter junii",0.000269569286683936,5.09121161487572e-05,0,0.000422872971399011,3.2978635097294e-05,0,"Acinetobacter junii"
"Acinetobacter lactucae",0,0,0,0.000171227495616853,0,4.9306448104988e-05,"Acinetobacter lactucae"
"Acinetobacter lanii",0,7.06008983947232e-06,1.07867884952275e-05,7.21568154598389e-06,0,0,"Acinetobacter lanii"
"Acinetobacter larvae",0,0,0,0,0,0,"Acinetobacter larvae"
"Acinetobacter lwoffii",0.000352733686067019,1.97623453483951e-05,1.07867884952275e-05,0.000117361642825463,9.75449938102548e-06,0.000107858904426295,"Acinetobacter lwoffii"
"Acinetobacter nosocomialis",0,0,0,0,0,0.000305881271454542,"Acinetobacter nosocomialis"
"Acinetobacter oleivorans",0,0,0,0,0,0,"Acinetobacter oleivorans"
"Acinetobacter phage Ac42",0,0,0,0,0,0,"Acinetobacter phage Ac42"
"Acinetobacter phage YMC13/03/R2096",0,0,0,0,0,0,"Acinetobacter phage YMC13/03/R2096"
"Acinetobacter phage phiAC-1",0,0,0,0,0,0,"Acinetobacter phage phiAC-1"
"Acinetobacter phage vB_AbaM_Acibel004",0,0,0,0,0,0,"Acinetobacter phage vB_AbaM_Acibel004"
"Acinetobacter phage vB_AbaM_phiAbaA1",0,0,0,0,0,0,"Acinetobacter phage vB_AbaM_phiAbaA1"
"Acinetobacter phage vB_AbaS_TRS1",0,0,0,0,0,0,"Acinetobacter phage vB_AbaS_TRS1"
"Acinetobacter pittii",0,0,0,0,0,0.000171843920480067,"Acinetobacter pittii"
"Acinetobacter radioresistens",0,0,0,0.000207394085698627,0,0,"Acinetobacter radioresistens"
"Acinetobacter schindleri",8.85739408194189e-05,3.81857342554819e-05,0,4.49236229272781e-05,0,0,"Acinetobacter schindleri"
"Acinetobacter seifertii",0,1.02775984616911e-05,0,0,0,0,"Acinetobacter seifertii"
"Acinetobacter shaoyimingii",0,0,0,0,0,0,"Acinetobacter shaoyimingii"
"Acinetobacter soli",0,0,0,0,0,0,"Acinetobacter soli"
"Acinetobacter towneri",0,2.04423700684358e-05,3.51395034597705e-05,0,0,0,"Acinetobacter towneri"
"Acinetobacter variabilis",0,0,2.4578634958404e-05,3.11092385537458e-05,0,1.9680387350933e-05,"Acinetobacter variabilis"
"Acinetobacter virus 133",0,0,0,0,0,0,"Acinetobacter virus 133"
"Acinetobacter virus Acj61",0,0,0,0,0,0,"Acinetobacter virus Acj61"
"Acinetobacter wanghuae",0,0,0,0,0,0,"Acinetobacter wanghuae"
"Acinetobacter wuhouensis",0,0,0,0,0,0,"Acinetobacter wuhouensis"
"Acionnavirus monteraybay",0,0,0,0,0,0,"Acionnavirus monteraybay"
"Aconitum latent virus",0,0,0,0,0,0,"Aconitum latent virus"
"Actinidia seed borne latent virus",0,0,0,0,0,0,"Actinidia seed borne latent virus"
"Actinidia virus 1",0,0,0,0,0,0,"Actinidia virus 1"
"Actinidia virus B",0,0,0,0,0,0,"Actinidia virus B"
"Actinidia virus X",0,0,0,0,0,0,"Actinidia virus X"
"Actinoalloteichus fjordicus",0,0,0,0,0,0,"Actinoalloteichus fjordicus"
"Actinoalloteichus hoggarensis",0,0,0,0,0,0,"Actinoalloteichus hoggarensis"
"Actinoalloteichus hymeniacidonis",0,0,0,0,4.04543835060863e-06,0,"Actinoalloteichus hymeniacidonis"
"Actinobacillus delphinicola",0,0,0,2.83374977450954e-05,0,3.04179696101022e-05,"Actinobacillus delphinicola"
"Actinobacillus equuli",0,0,0,5.01863880719625e-05,0,0,"Actinobacillus equuli"
"Actinobacillus pleuropneumoniae",0,0,0,0,0,0,"Actinobacillus pleuropneumoniae"
"Actinobacillus porcitonsillarum",0,0,0,0,0,0,"Actinobacillus porcitonsillarum"
"Actinobacillus suis",0,0,0,0,0,0,"Actinobacillus suis"
"Actinocatenispora sera",0,0,0,0,0,0,"Actinocatenispora sera"
"Actinocatenispora thailandica",0,0,0,0,0,0,"Actinocatenispora thailandica"
"Actinomadura graeca",0,0,0,0,0,0,"Actinomadura graeca"
"Actinomarinicola tropica",0,0,0,0,0,0,"Actinomarinicola tropica"
"Actinomyces faecalis",0,0,0.000139015315806262,0,0,0,"Actinomyces faecalis"
"Actinomyces gaoshouyii",0,0,0,0,0,0,"Actinomyces gaoshouyii"
"Actinomyces howellii",0,0,0,0,0,0,"Actinomyces howellii"
"Actinomyces marmotae",0,0,0,0,0,0,"Actinomyces marmotae"
"Actinomyces naeslundii",0,0,0,0,0,0,"Actinomyces naeslundii"
"Actinomyces oris",0,0,0,2.73749942588472e-05,4.71075936198405e-06,0,"Actinomyces oris"
"Actinomyces pacaensis",0,0,0,2.83255046946628e-05,0,0,"Actinomyces pacaensis"
"Actinomyces procaprae",0,0,0,0,0,0,"Actinomyces procaprae"
"Actinomyces qiguomingii",0,0,0,0,0,0,"Actinomyces qiguomingii"
"Actinomyces radicidentis",9.20720002331117e-05,0,7.29061710492559e-05,0,0,0,"Actinomyces radicidentis"
"Actinomyces respiraculi",0,0,0,0,0,0,"Actinomyces respiraculi"
"Actinomyces slackii",0,0,0,0,0,0,"Actinomyces slackii"
"Actinomyces trachealis",0,0,0,0,0,0,"Actinomyces trachealis"
"Actinomyces viscosus",0,0,0,0,0,3.13342048002372e-05,"Actinomyces viscosus"
"Actinomyces weissii",0,0,0,0,4.71075936198405e-06,0,"Actinomyces weissii"
"Actinomyces wuliandei",0,0,0,0,0,0,"Actinomyces wuliandei"
"Actinoplanes friuliensis",0,0,0,0,0,0,"Actinoplanes friuliensis"
"Actinoplanes ianthinogenes",0,0,0,0,0,0,"Actinoplanes ianthinogenes"
"Actinoplanes missouriensis",0,0,0,0,0,0,"Actinoplanes missouriensis"
"Actinoplanes phage phiAsp2",0,0,0,0,0,0,"Actinoplanes phage phiAsp2"
"Actinoplanes teichomyceticus",0,0,0,0,0,0,"Actinoplanes teichomyceticus"
"Actinopolyspora erythraea",0,0,0,0,0,0,"Actinopolyspora erythraea"
"Actinosynnema mirum",0,0,0,0,0,0,"Actinosynnema mirum"
"Actinosynnema pretiosum",0,0,0,0,0,0,"Actinosynnema pretiosum"
"Actinotignum schaalii",0,0,0,0,0,0,"Actinotignum schaalii"
"Acute bee paralysis virus",0,0,0,0,0,0,"Acute bee paralysis virus"
"Acyrthosiphon pisum virus",0,0,0,0,0,0,"Acyrthosiphon pisum virus"
"Adana phlebovirus",0,0,0,0,0,0,"Adana phlebovirus"
"Adelphocoris suturalis virus",0,0,0,0,0,0,"Adelphocoris suturalis virus"
"Adeno-associated dependoparvovirus A",0,0,0,0,0,0,"Adeno-associated dependoparvovirus A"
"Adeno-associated dependoparvovirus B",0,0,0,0,0,0,"Adeno-associated dependoparvovirus B"
"Adeno-associated virus",0,0,0,0,0,0,"Adeno-associated virus"
"Adhaeretor mobilis",0,0,0,0,0,0,"Adhaeretor mobilis"
"Adhaeribacter radiodurans",0,0,0,0,0,0,"Adhaeribacter radiodurans"
"Adhaeribacter swui",0,0,0,0,4.04543835060863e-06,0,"Adhaeribacter swui"
"Adlercreutzia equolifaciens",0,0,0,0,0,0,"Adlercreutzia equolifaciens"
"Adlercreutzia hattorii",0,0,0,0,0,0,"Adlercreutzia hattorii"
"Adonis mosaic virus",0,0,0,0,0,0,"Adonis mosaic virus"
"Adoxophyes honmai entomopoxvirus",0,0,0,0,0,0,"Adoxophyes honmai entomopoxvirus"
"Adoxophyes honmai nucleopolyhedrovirus",0,0,0,0,0,0,"Adoxophyes honmai nucleopolyhedrovirus"
"Adoxophyes orana granulovirus",0,0,0,0,0,0,"Adoxophyes orana granulovirus"
"Adoxophyes orana nucleopolyhedrovirus",0,0,0,0,0,0,"Adoxophyes orana nucleopolyhedrovirus"
"Advenella kashmirensis",0,0,0,0,0,0,"Advenella kashmirensis"
"Advenella mimigardefordensis",0,0,0,0,0,0,"Advenella mimigardefordensis"
"Aedes alboannulatus toti-like virus 1",0,0,0,0,0,0,"Aedes alboannulatus toti-like virus 1"
"Aedes camptorhynchus negev-like virus",0,0,0,0,0,0,"Aedes camptorhynchus negev-like virus"
"Aedes camptorhynchus reo-like virus",0,0,0,0,0,0,"Aedes camptorhynchus reo-like virus"
"Aedes camptorhynchus toti-like virus 1",0,0,0,0,0,0,"Aedes camptorhynchus toti-like virus 1"
"Aedes flavivirus",0,0,0,0,0,0,"Aedes flavivirus"
"Aedes pseudoscutellaris reovirus",0,0,0,0,0,0,"Aedes pseudoscutellaris reovirus"
"Aegicerativicinus sediminis",0,0,0,0,0,0,"Aegicerativicinus sediminis"
"Aegirvirus SCBP42",0,0,0,0,0,0,"Aegirvirus SCBP42"
"Aeoliella mucimassa",0,0,0,0,0,0,"Aeoliella mucimassa"
"Aeonium ringspot virus",0,0,0,0,0,0,"Aeonium ringspot virus"
"Aequoribacter fuscus",0,0,0,0,0,0,"Aequoribacter fuscus"
"Aequorivita iocasae",0,0,0,0,0,0,"Aequorivita iocasae"
"Aequorivita sublithincola",0,0,0,0,0,0,"Aequorivita sublithincola"
"Aerococcus christensenii",0,0,0,0,0,0,"Aerococcus christensenii"
"Aerococcus urinae",0,0,0,0,0,0,"Aerococcus urinae"
"Aerococcus urinaeequi",0,0,0,0,0,0,"Aerococcus urinaeequi"
"Aerococcus urinaehominis",0,0,0,0,0,0,"Aerococcus urinaehominis"
"Aerococcus viridans",0,0,0,0,0,1.56671024001186e-05,"Aerococcus viridans"
"Aeromicrobium chenweiae",0,0,0,0,0,0,"Aeromicrobium chenweiae"
"Aeromicrobium erythreum",0,0,0,0,0,0,"Aeromicrobium erythreum"
"Aeromicrobium yanjiei",0,0,0,0.000193678468640376,3.67299614431118e-06,1.56671024001186e-05,"Aeromicrobium yanjiei"
"Aeromonas allosaccharophila",0,0,0,0,0,0,"Aeromonas allosaccharophila"
"Aeromonas caviae",0,0,0,0,0,0,"Aeromonas caviae"
"Aeromonas dhakensis",0,0,0,0,0,0,"Aeromonas dhakensis"
"Aeromonas encheleia",0,0,0,0,0,0,"Aeromonas encheleia"
"Aeromonas hydrophila",0,0,0,0,0,0,"Aeromonas hydrophila"
"Aeromonas jandaei",0,0,0,0,0,0,"Aeromonas jandaei"
"Aeromonas media",0,0,0,0,0,0,"Aeromonas media"
"Aeromonas rivuli",0,0,0,0,0,0,"Aeromonas rivuli"
"Aeromonas salmonicida",0,0,0,0,0,0,"Aeromonas salmonicida"
"Aeromonas simiae",0,0,0,0,0,0,"Aeromonas simiae"
"Aeromonas veronii",0,0,0,0,0,0,"Aeromonas veronii"
"Aeropyrum camini",0,0,0,0,0,0,"Aeropyrum camini"
"Aeropyrum coil-shaped virus",0,0,0,0,0,0,"Aeropyrum coil-shaped virus"
"Aeropyrum globular virus 1",0,0,0,0,0,0,"Aeropyrum globular virus 1"
"Aeropyrum pernix",0,0,0,0,0,0,"Aeropyrum pernix"
"Aeropyrum pernix bacilliform virus 1",0,0,0,0,0,0,"Aeropyrum pernix bacilliform virus 1"
"Aeropyrum pernix ovoid virus 1",0,0,0,0,0,0,"Aeropyrum pernix ovoid virus 1"
"Aeropyrum pernix spindle-shaped virus 1",0,0,0,0,0,0,"Aeropyrum pernix spindle-shaped virus 1"
"Aerosticca soli",0,0,0,0,0,0,"Aerosticca soli"
"Aerosvirus AS7",0,0,0,0,0,0,"Aerosvirus AS7"
"Aerosvirus ZPAH7",0,0,0,0,0,0,"Aerosvirus ZPAH7"
"Aerosvirus av25AhydR2PP",0,0,0,0,0,0,"Aerosvirus av25AhydR2PP"
"Aestuariispira ectoiniformans",0,0,0,0,0,0,"Aestuariispira ectoiniformans"
"Affertcholeramvirus CTXphi",0,0,0,0,0,0,"Affertcholeramvirus CTXphi"
"Afipia carboxidovorans",0.00260274625664175,0,3.51395034597705e-05,0,3.07463023698298e-05,0,"Afipia carboxidovorans"
"Afonbuvirus coli",0,0,0,0,0,0,"Afonbuvirus coli"
"Afonbuvirus faecalis",0,0,0,0,0,0,"Afonbuvirus faecalis"
"Afonbuvirus intestinihominis",0,0,0,0,0,0,"Afonbuvirus intestinihominis"
"African cassava mosaic Burkina Faso virus",0,0,0,0,0,0,"African cassava mosaic Burkina Faso virus"
"African cassava mosaic virus",0,0,0,0,0,0,"African cassava mosaic virus"
"African eggplant mosaic virus",0,0,0,0,0,0,"African eggplant mosaic virus"
"African eggplant yellowing virus",0,0,0,0,0,0,"African eggplant yellowing virus"
"African green monkey polyomavirus",0,0,0,0,0,0,"African green monkey polyomavirus"
"African green monkey simian foamy virus",0,0,0,0,0,0,"African green monkey simian foamy virus"
"African horse sickness virus",0,0,0,0,0,0,"African horse sickness virus"
"African oil palm ringspot virus",0,0,0,0,0,0,"African oil palm ringspot virus"
"African swine fever virus",0,0,0,0,0,0,"African swine fever virus"
"Agaricus bisporus alphaendornavirus 1",0,0,0,0,0,0,"Agaricus bisporus alphaendornavirus 1"
"Agarilytica rhodophyticola",0,0,0,0,0,0,"Agarilytica rhodophyticola"
"Agarivorans aestuarii",0,0,0,0,0,0,"Agarivorans aestuarii"
"Agarivorans albus",0,0,0,0,0,0,"Agarivorans albus"
"Agatevirus Bp8pC",0,0,0,0,0,0,"Agatevirus Bp8pC"
"Agatevirus agate",0,0,0,0,0,0,"Agatevirus agate"
"Agatevirus bobb",0,0,0,0,0,0,"Agatevirus bobb"
"Agave tequilana leaf virus",0,0,0,0,0,0,"Agave tequilana leaf virus"
"Ageratum Yellow vein China virus - OX1",0,0,0,0,0,0,"Ageratum Yellow vein China virus - OX1"
"Ageratum conyzoides associated symptomless alphasatellite",0,0,0,0,0,0,"Ageratum conyzoides associated symptomless alphasatellite"
"Ageratum conyzoides symptomless alphasatellite",0,0,0,0,0,0,"Ageratum conyzoides symptomless alphasatellite"
"Ageratum enation alphasatellite",0,0,0,0,0,0,"Ageratum enation alphasatellite"
"Ageratum enation virus",0,0,0,0,0,0,"Ageratum enation virus"
"Ageratum latent virus",0,0,0,0,0,0,"Ageratum latent virus"
"Ageratum leaf curl Buea betasatellite",0,0,0,0,0,0,"Ageratum leaf curl Buea betasatellite"
"Ageratum leaf curl Cameroon alphasatellite",0,0,0,0,0,0,"Ageratum leaf curl Cameroon alphasatellite"
"Ageratum leaf curl Cameroon betasatellite",0,0,0,0,0,0,"Ageratum leaf curl Cameroon betasatellite"
"Ageratum leaf curl Cameroon virus",0,0,0,0,0,0,"Ageratum leaf curl Cameroon virus"
"Ageratum leaf curl Sichuan virus",0,0,0,0,0,0,"Ageratum leaf curl Sichuan virus"
"Ageratum leaf curl betasatellite",0,0,0,0,0,0,"Ageratum leaf curl betasatellite"
"Ageratum leaf curl virus",0,0,0,0,0,0,"Ageratum leaf curl virus"
"Ageratum yellow leaf curl betasatellite",0,0,0,0,0,0,"Ageratum yellow leaf curl betasatellite"
"Ageratum yellow vein China alphasatellite",0,0,0,0,0,0,"Ageratum yellow vein China alphasatellite"
"Ageratum yellow vein China betasatellite",0,0,0,0,0,0,"Ageratum yellow vein China betasatellite"
"Ageratum yellow vein Hualian virus",0,0,0,0,0,0,"Ageratum yellow vein Hualian virus"
"Ageratum yellow vein India alphasatellite",0,0,0,0,0,0,"Ageratum yellow vein India alphasatellite"
"Ageratum yellow vein India betasatellite",0,0,0,0,0,0,"Ageratum yellow vein India betasatellite"
"Ageratum yellow vein Pakistan alphasatellite",0,0,0,0,0,0,"Ageratum yellow vein Pakistan alphasatellite"
"Ageratum yellow vein Singapore alphasatellite",0,0,0,0,0,0,"Ageratum yellow vein Singapore alphasatellite"
"Ageratum yellow vein Sri Lanka betasatellite",0,0,0,0,0,0,"Ageratum yellow vein Sri Lanka betasatellite"
"Ageratum yellow vein Sri Lanka virus",0,0,0,0,0,0,"Ageratum yellow vein Sri Lanka virus"
"Ageratum yellow vein Taiwan virus",0,0,0,0,0,0,"Ageratum yellow vein Taiwan virus"
"Ageratum yellow vein alphasatellite",0,0,0,0,0,0,"Ageratum yellow vein alphasatellite"
"Ageratum yellow vein betasatellite",0,0,0,0,0,0,"Ageratum yellow vein betasatellite"
"Ageratum yellow vein virus",0,0,0,0,0,0,"Ageratum yellow vein virus"
"Aggregatibacter aphrophilus",0,0,0,1.15117893645258e-05,6.3639132031173e-06,0,"Aggregatibacter aphrophilus"
"Aggregatibacter phage S1249",0,0,0,0,0,0,"Aggregatibacter phage S1249"
"Aggregatibacter segnis",0,0,0,0,1.07770780811179e-05,0,"Aggregatibacter segnis"
"Aggregatimonas sangjinii",0,0,0,0,0,0,"Aggregatimonas sangjinii"
"Aghbyvirus ISAO8",0,0,0,0,0,0,"Aghbyvirus ISAO8"
"Aglaonema bacilliform virus",0,0,0,0,0,0,"Aglaonema bacilliform virus"
"Agmunavirus AGM1",0,0,0,0,0,0,"Agmunavirus AGM1"
"Agricanvirus Ea3570",0,0,0,0,0,0,"Agricanvirus Ea3570"
"Agricanvirus deimos",0,0,0,0,0,0,"Agricanvirus deimos"
"Agricanvirus desertfox",0,0,0,0,0,0,"Agricanvirus desertfox"
"Agricanvirus ray",0,0,0,0,0,0,"Agricanvirus ray"
"Agricanvirus simmy50",0,0,0,0,0,0,"Agricanvirus simmy50"
"Agricanvirus specialG",0,0,0,0,0,0,"Agricanvirus specialG"
"Agrobacterium fabrum",0,0.000179207739129307,0,0,0.000363772071082317,1.56671024001186e-05,"Agrobacterium fabrum"
"Agrobacterium rhizogenes",0,0,0,0,1.9845276094762e-05,0,"Agrobacterium rhizogenes"
"Agrobacterium tumefaciens",0,0,0,0,0,0,"Agrobacterium tumefaciens"
"Agrobacterium vaccinii",0,0,0,0,0,0,"Agrobacterium vaccinii"
"Agromyces archimandritae",0,0,0,0,0,0,"Agromyces archimandritae"
"Agromyces aureus",0,0,0,0,0,0,"Agromyces aureus"
"Agromyces badenianii",0,0,0,0,0,0,"Agromyces badenianii"
"Agromyces laixinhei",0,0,0,0,0,0,"Agromyces laixinhei"
"Agromyces marinus",0,0,0,0,0,0,"Agromyces marinus"
