Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_individual (exp),Experimental_Factor:_organism_part (exp),External_Id,Individual,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,specimen_with_known_storage_state,SRA Study,Submitter_Id
ERR315348,RNA-Seq,202,3480174574,PRJEB4337,SAMEA2156266,ArrayExpress,2628209046,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,geo.fc,sra,realign,run.zq,run.realign.summary","ncbi,ena,s3,gs","s3.us-east-1,gs.US,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288473,V10,colon,SAMEA2156266,V10,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:28Z,public,Illumina HiSeq 2000,V10,PAIRED,cDNA,TRANSCRIPTOMIC,colon,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:43:00Z,2,SAMEA2156266,E-MTAB-1733:colon_a,frozen specimen,ERP003613,E-MTAB-1733:colon_a
ERR315358,RNA-Seq,202,3191022078,PRJEB4337,SAMEA2145313,ArrayExpress,1295567406,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,fastq,realign,sra,run.zq,run.realign.summary","ena,s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288613,V196,thyroid,SAMEA2145313,V196,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V196,PAIRED,cDNA,TRANSCRIPTOMIC,thyroid,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:45:00Z,2,SAMEA2145313,E-MTAB-1733:thyroid_5a,frozen specimen,ERP003613,E-MTAB-1733:thyroid_5a
ERR315375,RNA-Seq,202,6400906916,PRJEB4337,SAMEA2162568,ArrayExpress,2878358226,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,run.realign.summary,geo.fc,run.zq,realign,sra","ncbi,gs,s3,ena","s3.us-east-1,ena,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288569,V76,placenta,SAMEA2162568,V76,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:19Z,public,Illumina HiSeq 2000,V76,PAIRED,cDNA,TRANSCRIPTOMIC,placenta,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:47:00Z,2,SAMEA2162568,E-MTAB-1733:placenta_3a,frozen specimen,ERP003613,E-MTAB-1733:placenta_3a
ERR315394,RNA-Seq,202,1231389172,PRJEB4337,SAMEA2145122,ArrayExpress,825651087,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,run.realign.summary,geo.fc,fastq,sra,realign","gs,ena,s3,ncbi","s3.us-east-1,ncbi.public,ena,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288580,V110,liver,SAMEA2145122,V110,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:29Z,public,Illumina HiSeq 2000,V110,PAIRED,cDNA,TRANSCRIPTOMIC,liver,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:35:00Z,2,SAMEA2145122,E-MTAB-1733:liver_c,frozen specimen,ERP003613,E-MTAB-1733:liver_c
ERR315422,RNA-Seq,202,3157657940,PRJEB4337,SAMEA2145313,ArrayExpress,1276865779,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,realign,fastq,sra,geo.fc,run.realign.summary","s3,ncbi,ena,gs","s3.us-east-1,gs.US,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288582,V196,thyroid,SAMEA2145313,V196,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V196,PAIRED,cDNA,TRANSCRIPTOMIC,thyroid,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:42:00Z,2,SAMEA2145313,E-MTAB-1733:thyroid_5a,frozen specimen,ERP003613,E-MTAB-1733:thyroid_5a
ERR315473,RNA-Seq,202,4943639324,PRJEB4337,SAMEA2159764,ArrayExpress,2231289448,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.realign.summary,sra,geo.fc,fastq,run.zq","gs,ena,s3,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288543,V84,spleen,SAMEA2159764,V84,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:55Z,public,Illumina HiSeq 2000,V84,PAIRED,cDNA,TRANSCRIPTOMIC,spleen,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:38:00Z,2,SAMEA2159764,E-MTAB-1733:spleen_3c,frozen specimen,ERP003613,E-MTAB-1733:spleen_3c
ERR315328,RNA-Seq,202,2658933272,PRJEB4337,SAMEA2154361,ArrayExpress,1127048037,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,fastq,run.zq,realign,run.realign.summary,geo.fc","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288536,V191,heart,SAMEA2154361,V191,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:54Z,public,Illumina HiSeq 2000,V191,PAIRED,cDNA,TRANSCRIPTOMIC,heart,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:38:00Z,2,SAMEA2154361,E-MTAB-1733:heart_5a,frozen specimen,ERP003613,E-MTAB-1733:heart_5a
ERR315329,RNA-Seq,202,2770417678,PRJEB4337,SAMEA2152719,ArrayExpress,1171718872,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,run.realign.summary,geo.fc,sra,fastq,realign","ncbi,s3,gs,ena","gs.US,ncbi.public,ena,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288623,V193,lymph node,SAMEA2152719,V193,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:42Z,public,Illumina HiSeq 2000,V193,PAIRED,cDNA,TRANSCRIPTOMIC,lymph node,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:36:00Z,2,SAMEA2152719,E-MTAB-1733:lymphnode_5c,frozen specimen,ERP003613,E-MTAB-1733:lymphnode_5c
ERR315330,RNA-Seq,202,2189324480,PRJEB4337,SAMEA2155984,ArrayExpress,991590866,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,sra,run.zq,fastq,run.realign.summary,geo.fc","ncbi,ena,s3,gs","ncbi.public,ena,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288546,V127,prostate,SAMEA2155984,V127,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V127,PAIRED,cDNA,TRANSCRIPTOMIC,prostate,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:34:00Z,2,SAMEA2155984,E-MTAB-1733:prostate_4a,frozen specimen,ERP003613,E-MTAB-1733:prostate_4a
ERR315331,RNA-Seq,202,3056972252,PRJEB4337,SAMEA2159607,ArrayExpress,1307847589,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,sra,fastq,run.zq,run.realign.summary,geo.fc","ena,s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288573,V237,heart,SAMEA2159607,V237,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:55Z,public,Illumina HiSeq 2000,V237,PAIRED,cDNA,TRANSCRIPTOMIC,heart,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:42:00Z,2,SAMEA2159607,E-MTAB-1733:heart_6b,frozen specimen,ERP003613,E-MTAB-1733:heart_6b
ERR315335,RNA-Seq,202,2049403726,PRJEB4337,SAMEA2146411,ArrayExpress,962357079,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,fastq,sra,run.realign.summary,run.zq,geo.fc","s3,gs,ena,ncbi","s3.us-east-1,ena,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288498,V119,adrenal gland,SAMEA2146411,V119,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:42Z,public,Illumina HiSeq 2000,V119,PAIRED,cDNA,TRANSCRIPTOMIC,adrenal gland,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:34:00Z,2,SAMEA2146411,E-MTAB-1733:adrenal_4a,frozen specimen,ERP003613,E-MTAB-1733:adrenal_4a
ERR315336,RNA-Seq,202,3310691120,PRJEB4337,SAMEA2153307,ArrayExpress,1435820716,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,geo.fc,run.realign.summary,realign,run.zq,fastq","ena,gs,ncbi,s3","ena,ncbi.public,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288611,V224,placenta,SAMEA2153307,V224,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:22Z,public,Illumina HiSeq 2000,V224,PAIRED,cDNA,TRANSCRIPTOMIC,placenta,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:45:00Z,2,SAMEA2153307,E-MTAB-1733:placenta_6c,frozen specimen,ERP003613,E-MTAB-1733:placenta_6c
ERR315337,RNA-Seq,202,4474338986,PRJEB4337,SAMEA2159931,ArrayExpress,1835562698,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,run.zq,geo.fc,sra,realign,fastq","gs,ncbi,ena,s3","gs.US,ncbi.public,s3.us-east-1,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288621,V197,thyroid,SAMEA2159931,V197,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:21Z,public,Illumina HiSeq 2000,V197,PAIRED,cDNA,TRANSCRIPTOMIC,thyroid,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:43:00Z,2,SAMEA2159931,E-MTAB-1733:thyroid_5b,frozen specimen,ERP003613,E-MTAB-1733:thyroid_5b
ERR315338,RNA-Seq,202,5383038208,PRJEB4337,SAMEA2153031,ArrayExpress,2428445323,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,sra,run.zq,geo.fc,realign,fastq","gs,ncbi,s3,ena","s3.us-east-1,ncbi.public,ena,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288641,V82,spleen,SAMEA2153031,V82,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:22Z,public,Illumina HiSeq 2000,V82,PAIRED,cDNA,TRANSCRIPTOMIC,spleen,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:48:00Z,2,SAMEA2153031,E-MTAB-1733:spleen_3a,frozen specimen,ERP003613,E-MTAB-1733:spleen_3a
ERR315339,RNA-Seq,202,2742806702,PRJEB4337,SAMEA2145893,ArrayExpress,1208964394,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,fastq,geo.fc,sra,run.zq,realign","gs,s3,ena,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288474,V245,skin,SAMEA2145893,V245,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:28Z,public,Illumina HiSeq 2000,V245,PAIRED,cDNA,TRANSCRIPTOMIC,skin,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:34:00Z,2,SAMEA2145893,E-MTAB-1733:skin_6a,frozen specimen,ERP003613,E-MTAB-1733:skin_6a
ERR315340,RNA-Seq,202,2178167616,PRJEB4337,SAMEA2153427,ArrayExpress,1025134217,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,run.realign.summary,realign,sra,run.zq,fastq","s3,ncbi,ena,gs","ena,s3.us-east-1,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288637,V128,prostate,SAMEA2153427,V128,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V128,PAIRED,cDNA,TRANSCRIPTOMIC,prostate,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:36:00Z,2,SAMEA2153427,E-MTAB-1733:prostate_4b,frozen specimen,ERP003613,E-MTAB-1733:prostate_4b
ERR315341,RNA-Seq,202,5926769486,PRJEB4337,SAMEA2144333,ArrayExpress,2667345951,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,realign,geo.fc,run.zq,sra,fastq","ena,s3,ncbi,gs","ena,s3.us-east-1,ncbi.public,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288597,V81,lung,SAMEA2144333,V81,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:21Z,public,Illumina HiSeq 2000,V81,PAIRED,cDNA,TRANSCRIPTOMIC,lung,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:48:00Z,2,SAMEA2144333,E-MTAB-1733:lung_3f,frozen specimen,ERP003613,E-MTAB-1733:lung_3f
ERR315342,RNA-Seq,202,4923317316,PRJEB4337,SAMEA2154125,ArrayExpress,3833930763,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.zq,geo.fc,run.realign.summary,sra,fastq","ncbi,gs,s3,ena","ena,ncbi.public,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288490,V20,adipose tissue,SAMEA2154125,V20,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:29Z,public,Illumina HiSeq 2000,V20,PAIRED,cDNA,TRANSCRIPTOMIC,adipose tissue,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:46:00Z,2,SAMEA2154125,E-MTAB-1733:fat_e,frozen specimen,ERP003613,E-MTAB-1733:fat_e
ERR315343,RNA-Seq,202,917726602,PRJEB4337,SAMEA2154125,ArrayExpress,691125721,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,run.zq,realign,run.realign.summary,sra,geo.fc","ncbi,gs,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288475,V20,adipose tissue,SAMEA2154125,V20,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:29Z,public,Illumina HiSeq 2000,V20,PAIRED,cDNA,TRANSCRIPTOMIC,adipose tissue,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:32:00Z,2,SAMEA2154125,E-MTAB-1733:fat_e,frozen specimen,ERP003613,E-MTAB-1733:fat_e
